"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","F_Record","Temp","F_Temp","SpCond","F_SpCond","Sal","F_Sal","DO_Pct","F_DO_Pct","DO_mgl","F_DO_mgl","Depth","F_Depth","cDepth","F_cDepth","Level","F_Level","cLevel","F_cLevel","pH","F_pH","Turb","F_Turb","ChlFluor","F_ChlFluor",
"job19wq  ","P",01/01/2023 0:00,0,1,"",26.4,<0> (CND),51.13,<0> (CND),33.5,<0> (CND),77.9,<0> (CND),5.2,<0> (CND),0.43,<0> (CND),"",<-3> [GCR],"",<-1> ,"","",7.9,<0> (CND),1,<0> (CND),"",<-1> ,
"job19wq  ","P",01/01/2023 0:15,0,1,"",26.4,<0> ,51.13,<0> ,33.5,<0> ,76.2,<0> ,5.1,<0> ,0.45,<0> ,"",<-3> [GCR],"",<-1> ,"","",7.9,<0> ,1,<0> ,"",<-1> ,
"job19wq  ","P",01/01/2023 0:30,0,1,"",26.4,<0> ,51.12,<0> ,33.5,<0> ,74.3,<0> ,5.0,<0> ,0.45,<0> ,"",<-3> [GCR],"",<-1> ,"","",7.9,<0> ,1,<0> ,"",<-1> ,
"job19wq  ","P",01/01/2023 0:45,0,1,"",26.4,<0> ,51.08,<0> ,33.5,<0> ,72.9,<0> ,4.9,<0> ,0.44,<0> ,"",<-3> [GCR],"",<-1> ,"","",7.9,<0> ,1,<0> ,"",<-1> ,
"job19wq  ","P",01/01/2023 1:00,0,1,"",26.4,<0> ,51.06,<0> ,33.5,<0> ,71.9,<0> ,4.8,<0> ,0.45,<0> ,"",<-3> [GCR],"",<-1> ,"","",7.9,<0> ,1,<0> ,"",<-1> ,
"job19wq  ","P",01/01/2023 1:15,0,1,"",26.4,<0> ,51.11,<0> ,33.5,<0> ,74.5,<0> ,5.0,<0> ,0.44,<0> ,"",<-3> [GCR],"",<-1> ,"","",7.9,<0> ,1,<0> ,"",<-1> ,
"job19wq  ","P",01/01/2023 1:30,0,1,"",26.4,<0> ,51.1,<0> ,33.5,<0> ,74.8,<0> ,5.0,<0> ,0.44,<0> ,"",<-3> [GCR],"",<-1> ,"","",7.9,<0> ,1,<0> ,"",<-1> ,
"job19wq  ","P",01/01/2023 1:45,0,1,"",26.5,<0> ,51.03,<0> ,33.5,<0> ,77.0,<0> ,5.1,<0> ,0.45,<0> ,"",<-3> [GCR],"",<-1> ,"","",7.9,<0> ,1,<0> ,"",<-1> ,
"job19wq  ","P",01/01/2023 2:00,0,1,"",26.5,<0> ,51.05,<0> ,33.5,<0> ,79.1,<0> ,5.3,<0> ,0.45,<0> ,"",<-3> [GCR],"",<-1> ,"","",7.9,<0> ,1,<0> ,"",<-1> ,
"job19wq  ","P",01/01/2023 2:15,0,1,"",26.6,<0> ,51.02,<0> ,33.5,<0> ,82.6,<0> ,5.5,<0> ,0.46,<0> ,"",<-3> [GCR],"",<-1> ,"","",7.9,<0> ,1,<0> ,"",<-1> ,
