"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"narncnut  ","P",01/30/2017 13:36,1,1,1         ,1         ,"",0.0070,<0>  ,0.0090,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,3.6800,<0>  ,
"narncnut  ","P",01/30/2017 13:38,1,1,1         ,2         ,"",0.0080,<0>  ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.9500,<0>  ,
"narncnut  ","P",02/27/2017 12:27,1,1,1         ,1         ,"",0.0190,<0>  ,0.0140,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.4900,<0>  ,
"narncnut  ","P",02/27/2017 12:29,1,1,1         ,2         ,"",0.0210,<0>  ,0.0200,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.6500,<0>  ,
"narncnut  ","P",03/27/2017 12:38,1,1,1         ,1         ,"",0.0240,<0>  ,0.0320,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.1200,<0>  ,
"narncnut  ","P",03/27/2017 12:40,1,1,1         ,2         ,"",0.0230,<0>  ,0.0220,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.8600,<0>  ,
"narncnut  ","P",04/24/2017 10:28,1,1,1         ,1         ,"",0.0130,<0>  ,0.0190,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.6700,<0>  ,
"narncnut  ","P",04/24/2017 10:30,1,1,1         ,2         ,"",0.0160,<0>  ,0.0210,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,1.2900,<0>  ,
"narncnut  ","P",05/23/2017 9:21,1,1,1         ,1         ,"",0.0080,<0>  ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,6.2100,<0>  ,
"narncnut  ","P",05/23/2017 9:23,1,1,1         ,2         ,"",0.0090,<0>  ,0.0056,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,6.4700,<0>  ,
"narncnut  ","P",06/05/2017 9:10,1,1,1         ,1         ,"",0.0080,<0>  ,0.0320,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,21.2400,<1> [SRD] ,
"narncnut  ","P",06/05/2017 9:12,1,1,1         ,2         ,"",0.0070,<0>  ,0.0200,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,47.2000,<1> [SRD] ,
"narncnut  ","P",07/03/2017 9:18,1,1,1         ,1         ,"",0.0250,<0>  ,0.0520,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,9.6000,<0>  ,
"narncnut  ","P",07/03/2017 9:20,1,1,1         ,2         ,"",0.0270,<0>  ,0.0490,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,10.0700,<0>  ,
"narncnut  ","P",08/07/2017 11:13,1,1,1         ,1         ,"",0.0530,<0>  ,0.0440,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,5.5100,<0>  ,
"narncnut  ","P",08/07/2017 11:15,1,1,1         ,2         ,"",0.0540,<0>  ,0.0440,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,5.0000,<0>  ,
"narncnut  ","P",09/05/2017 11:10,1,1,1         ,1         ,"",0.0530,<0>  ,0.0700,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.9100,<0>  ,
"narncnut  ","P",09/05/2017 11:12,1,1,1         ,2         ,"",0.0560,<0>  ,0.0910,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.7800,<0>  ,
"narncnut  ","P",10/16/2017 9:43,1,1,1         ,1         ,"",0.0460,<0>  ,0.0640,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0060,<0>  ,2.3400,<0>  ,
"narncnut  ","P",10/16/2017 9:45,1,1,1         ,2         ,"",0.0500,<0>  ,0.0720,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0050,<0>  ,2.4100,<0>  ,
"narncnut  ","P",11/28/2017 9:13,1,1,1         ,1         ,"",0.0500,<0>  ,0.0760,<0>  ,0.0070,<0>  ,0.0890,<0>  ,0.0960,<0>  ,1.8600,<0>  ,
"narncnut  ","P",11/28/2017 9:15,1,1,1         ,2         ,"",0.0540,<0>  ,0.0870,<0>  ,0.0080,<0>  ,0.0890,<0>  ,0.0970,<0>  ,1.3200,<0>  ,
