"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"nartbnut  ","P",01/09/2013 10:03,1,1,1         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"nartbnut  ","P",01/09/2013 10:05,1,1,1         ,2         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"nartbnut  ","P",02/06/2013 9:07,1,1,1         ,1         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"nartbnut  ","P",02/06/2013 9:09,1,1,1         ,2         ,"","",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> (CSM) ,"",<-2> [GCM] ,"",<-2> (CSM) ,"",<-2> (CSM) ,
"nartbnut  ","P",03/11/2013 11:30,1,1,1         ,1         ,"",0.0020,<-4> [SBL] (CHB) ,0.0140,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] ,0.0047,<-4> [SBL] (CHB) ,1.7700,<0>  ,
"nartbnut  ","P",03/11/2013 11:32,1,1,1         ,2         ,"",0.0020,<-4> [SBL] (CHB) ,0.0056,<-4> [SBL] (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] ,0.0047,<-4> [SBL] (CHB) ,1.6700,<0>  ,
"nartbnut  ","P",04/10/2013 10:25,1,1,1         ,1         ,"",0.0040,<1> (CHB) ,0.0070,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] ,0.0047,<-4> [SBL] (CHB) ,4.5100,<0>  ,
"nartbnut  ","P",04/10/2013 10:27,1,1,1         ,2         ,"",0.0060,<1> (CHB) ,0.0080,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] ,0.0047,<-4> [SBL] (CHB) ,3.6300,<0>  ,
"nartbnut  ","P",05/06/2013 11:04,1,1,1         ,1         ,"",0.0090,<1> (CHB) ,0.0100,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] ,0.0047,<-4> [SBL] (CHB) ,1.2900,<0>  ,
"nartbnut  ","P",05/06/2013 11:06,1,1,1         ,2         ,"",0.0080,<1> (CHB) ,0.0056,<-4> [SBL] (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] ,0.0047,<-4> [SBL] (CHB) ,1.3900,<0>  ,
"nartbnut  ","P",06/05/2013 12:19,1,1,1         ,1         ,"",0.0130,<1> (CHB) ,0.0250,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] ,0.0047,<-4> [SBL] (CHB) ,1.3800,<0>  ,
"nartbnut  ","P",06/05/2013 12:21,1,1,1         ,2         ,"",0.0110,<1> (CHB) ,0.0280,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] ,0.0047,<-4> [SBL] (CHB) ,2.0200,<0>  ,
"nartbnut  ","P",07/05/2013 9:21,1,1,1         ,1         ,"",0.0090,<1> (CHB) ,0.0210,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] ,0.0047,<-4> [SBL] (CHB) ,3.3700,<0>  ,
"nartbnut  ","P",07/05/2013 9:24,1,1,1         ,2         ,"",0.0080,<1> (CHB) ,0.0200,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] ,0.0047,<-4> [SBL] (CHB) ,2.0000,<0>  ,
"nartbnut  ","P",08/05/2013 10:50,1,1,1         ,1         ,"",0.0280,<1> (CHB) ,0.0380,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] ,0.0047,<-4> [SBL] (CHB) ,1.1600,<0>  ,
"nartbnut  ","P",08/05/2013 10:52,1,1,1         ,2         ,"",0.0280,<1> (CHB) ,0.0310,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] ,0.0047,<-4> [SBL] (CHB) ,2.4700,<0>  ,
"nartbnut  ","P",09/05/2013 11:58,1,1,1         ,1         ,"",0.0320,<0>  ,0.0420,<0>  ,0.0020,<0>  ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,5.2200,<0>  ,
"nartbnut  ","P",09/05/2013 12:00,1,1,1         ,2         ,"",0.0320,<0>  ,0.0360,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,4.3000,<0>  ,
"nartbnut  ","P",10/04/2013 11:00,1,1,1         ,1         ,"",0.0220,<1> [SRD] ,0.0070,<1> [SRD] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,2.7900,<0>  ,
"nartbnut  ","P",10/04/2013 11:03,1,1,1         ,2         ,"",0.0300,<1> [SRD] ,0.0370,<1> [SRD] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0047,<-4> [SBL] ,3.4500,<0>  ,
"nartbnut  ","P",11/04/2013 13:19,1,1,1         ,1         ,"",0.0340,<1> (CHB) ,0.0610,<1> (CHB) ,0.0020,<1> (CHB) ,0.0170,<1> (CHB) ,0.0190,<1> (CHB) ,0.9500,<0>  ,
"nartbnut  ","P",11/04/2013 13:21,1,1,1         ,2         ,"",0.0360,<1> (CHB) ,0.0640,<1> (CHB) ,0.0030,<1> (CHB) ,0.0160,<1> (CHB) ,0.0190,<1> (CHB) ,1.3300,<0>  ,
"nartbnut  ","P",12/03/2013 13:03,1,1,1         ,1         ,"",0.0300,<0>  ,0.0440,<0>  ,0.0020,<0>  ,0.0170,<0>  ,0.0190,<0>  ,1.0200,<0>  ,
"nartbnut  ","P",12/03/2013 13:05,1,1,1         ,2         ,"",0.0300,<0>  ,0.0370,<0>  ,0.0020,<0>  ,0.0160,<0>  ,0.0180,<0>  ,1.3200,<0>  ,
