"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"narncnut  ","P",01/29/2018 9:28,1,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"narncnut  ","P",01/29/2018 9:30,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"narncnut  ","P",02/13/2018 9:28,1,1,1         ,1         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"narncnut  ","P",02/13/2018 9:30,1,1,1         ,2         ,"","",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GCM] (CSM) ,"",<-2> [GDM] (CSM) ,"",<-2> [GDM] (CSM) ,
"narncnut  ","P",03/27/2018 9:58,1,1,1         ,1         ,"",0.0080,<0>  ,0.0150,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.9100,<0>  ,
"narncnut  ","P",03/27/2018 10:00,1,1,1         ,2         ,"",0.0080,<0>  ,0.0160,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,2.0600,<0>  ,
"narncnut  ","P",04/24/2018 7:49,1,1,1         ,1         ,"",0.0140,<0>  ,0.0120,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,0.9400,<0>  ,
"narncnut  ","P",04/24/2018 7:51,1,1,1         ,2         ,"",0.0170,<0>  ,0.0200,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,0.6200,<0>  ,
"narncnut  ","P",05/15/2018 11:13,1,1,1         ,1         ,"",0.0110,<0>  ,0.0200,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.0800,<0>  ,
"narncnut  ","P",05/15/2018 11:15,1,1,1         ,2         ,"",0.0110,<0>  ,0.0200,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.4200,<0>  ,
"narncnut  ","P",06/12/2018 9:58,1,1,1         ,1         ,"",0.0240,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.0000,<0>  ,
"narncnut  ","P",06/12/2018 10:00,1,1,1         ,2         ,"",0.0240,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,1.0000,<0>  ,
"narncnut  ","P",07/12/2018 9:28,1,1,1         ,1         ,"",0.0580,<0>  ,0.0340,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,4.4000,<0>  ,
"narncnut  ","P",07/12/2018 9:30,1,1,1         ,2         ,"",0.0560,<0>  ,0.0320,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,4.8800,<0>  ,
"narncnut  ","P",08/07/2018 7:58,1,1,1         ,1         ,"",0.1150,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,9.4100,<0>  ,
"narncnut  ","P",08/07/2018 8:00,1,1,1         ,2         ,"",0.1180,<0>  ,0.0062,<-4> [SBL] ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,8.5700,<0>  ,
"narncnut  ","P",09/05/2018 8:08,1,1,1         ,1         ,"",0.1000,<0>  ,0.0110,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,7.5900,<0>  ,
"narncnut  ","P",09/05/2018 8:10,1,1,1         ,2         ,"",0.1060,<0>  ,0.0140,<0>  ,0.0016,<-4> [SBL] ,"",<-4> [SCB] ,0.0055,<-4> [SBL] ,6.3200,<0>  ,
"narncnut  ","P",10/09/2018 11:43,1,1,1         ,1         ,"",0.0320,<0>  ,0.0320,<0>  ,0.0030,<0>  ,0.0170,<0>  ,0.0200,<0>  ,1.6900,<0>  ,
"narncnut  ","P",10/09/2018 11:45,1,1,1         ,2         ,"",0.0290,<0>  ,0.0290,<0>  ,0.0030,<0>  ,0.0170,<0>  ,0.0200,<0>  ,1.3600,<0>  ,
"narncnut  ","P",11/06/2018 10:23,1,1,1         ,1         ,"",0.0190,<0>  ,0.0160,<0>  ,0.0020,<0>  ,0.0250,<0>  ,0.0270,<0>  ,0.6300,<0>  ,
"narncnut  ","P",11/06/2018 10:25,1,1,1         ,2         ,"",0.0200,<0>  ,0.0200,<0>  ,0.0020,<0>  ,0.0250,<0>  ,0.0270,<0>  ,0.6000,<0>  ,
"narncnut  ","P",12/04/2018 10:13,1,1,1         ,1         ,"",0.0120,<1> (CHB) ,0.0180,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0080,<1> (CHB) ,1.9800,<0>  ,
"narncnut  ","P",12/04/2018 10:15,1,1,1         ,2         ,"",0.0140,<1> (CHB) ,0.0180,<1> (CHB) ,0.0016,<-4> [SBL] (CHB) ,"",<-4> [SCB] (CHB) ,0.0090,<1> (CHB) ,2.0800,<0>  ,
