"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"apaesnut  ","P",01/06/2003 10:09,1,1,1         ,1         ,"",0.0220,<4>  ,0.0720,<4>  ,0.0040,<4>  ,0.0750,<4>  C                   ,0.0790,<4>  ,5.9810,<4>  ,
"apaesnut  ","P",01/06/2003 10:11,1,1,1         ,2         ,"",0.0190,<4>  ,0.0660,<4>  ,0.0030,<4>  ,0.0760,<4>  C                   ,0.0790,<4>  ,6.4080,<4>  ,
"apaesnut  ","P",01/06/2003 10:30,1,1,2         ,1         ,"",0.0130,<4>  ,0.0400,<4>  ,0.0040,<4>  ,0.0720,<4>  C                   ,0.0760,<4>  ,6.4080,<4>  ,
"apaesnut  ","P",01/06/2003 13:00,1,1,2         ,1         ,"",0.0130,<4>  ,0.0620,<4>  ,0.0050,<4>  ,0.0390,<4>  C                   ,0.0440,<4>  ,6.4080,<4>  ,
"apaesnut  ","P",01/06/2003 15:30,1,1,2         ,1         ,"",0.0140,<4>  ,0.0590,<4>  ,0.0040,<4>  ,0.0790,<4>  C                   ,0.0830,<4>  ,7.6900,<4>  ,
"apaesnut  ","P",01/06/2003 18:00,1,1,2         ,1         ,"",0.0170,<4>  ,0.0730,<4>  ,0.0050,<4>  ,0.1290,<4>  C                   ,0.1340,<4>  ,10.2530,<4>  ,
"apaesnut  ","P",01/06/2003 20:30,1,1,2         ,1         ,"",0.0210,<4>  ,0.0480,<4>  ,0.0050,<4>  ,0.1250,<4>  C                   ,0.1300,<4>  ,7.0490,<4>  ,
"apaesnut  ","P",01/06/2003 23:00,1,1,2         ,1         ,"",0.0160,<4>  ,0.0470,<4>  ,0.0040,<4>  ,0.0900,<4>  C                   ,0.0940,<4>  ,10.2530,<4>  ,
"apaesnut  ","P",01/07/2003 1:30,1,1,2         ,1         ,"",0.0220,<4>  ,0.0590,<4>  ,0.0050,<4>  ,0.0750,<4>  C                   ,0.0800,<4>  ,6.4080,<4>  ,
"apaesnut  ","P",01/07/2003 4:00,1,1,2         ,1         ,"",0.0100,<4>  ,0.0660,<4>  ,0.0040,<4>  ,0.0760,<4>  C                   ,0.0800,<4>  ,5.9810,<4>  ,
"apaesnut  ","P",01/07/2003 6:30,1,1,2         ,1         ,"",0.0250,<4>  ,0.0610,<4>  ,0.0040,<4>  ,0.0880,<4>  C                   ,0.0920,<4>  ,10.2530,<4>  ,
"apaesnut  ","P",01/07/2003 9:00,1,1,2         ,1         ,"",0.0160,<4>  ,0.0590,<4>  ,0.0040,<4>  ,0.0940,<4>  C                   ,0.0980,<4>  ,7.6900,<4>  ,
"apaesnut  ","P",01/07/2003 11:30,1,1,2         ,1         ,"",0.0140,<4>  ,0.0490,<4>  ,0.0050,<4>  ,0.0380,<4>  C                   ,0.0430,<4>  ,7.6900,<4>  ,
"apaesnut  ","P",02/03/2003 10:10,1,1,1         ,1         ,"",0.0090,<4>  ,0.0410,<4>  ,0.0040,<4>  ,0.1860,<4>  C                   ,0.1900,<4>  ,20.0780,<4>  ,
"apaesnut  ","P",02/03/2003 10:12,1,1,1         ,2         ,"",0.0040,<4>  ,0.0370,<4>  ,0.0030,<4>  ,0.1780,<4>  C                   ,0.1810,<4>  ,19.2240,<4>  ,
"apaesnut  ","P",02/03/2003 10:30,1,1,2         ,1         ,"",0.0040,<4>  ,0.0300,<4>  ,0.0040,<4>  ,0.1420,<4>  C                   ,0.1460,<4>  ,23.9230,<4>  ,
"apaesnut  ","P",02/03/2003 13:00,1,1,2         ,1         ,"",0.0040,<4>  ,0.0290,<4>  ,0.0030,<4>  ,0.1290,<4>  C                   ,0.1320,<4>  ,28.6220,<4>  ,
"apaesnut  ","P",02/03/2003 15:30,1,1,2         ,1         ,"",0.0050,<4>  ,0.0280,<4>  ,0.0040,<4>  ,0.1680,<4>  C                   ,0.1720,<4>  ,26.0590,<4>  ,
"apaesnut  ","P",02/03/2003 18:00,1,1,2         ,1         ,"",0.0030,<4>  ,0.0350,<4>  ,0.0040,<4>  ,0.2640,<4>  C                   ,0.2680,<4>  ,25.2050,<4>  ,
"apaesnut  ","P",02/03/2003 20:30,1,1,2         ,1         ,"",0.0060,<4>  ,0.0340,<4>  ,0.0050,<4>  ,0.1580,<4>  C                   ,0.1630,<4>  ,26.4860,<4>  ,
"apaesnut  ","P",02/03/2003 23:00,1,1,2         ,1         ,"",0.0060,<4>  ,0.0360,<4>  ,0.0040,<4>  ,0.2210,<4>  C                   ,0.2250,<4>  ,24.7780,<4>  ,
"apaesnut  ","P",02/04/2003 1:30,1,1,2         ,1         ,"",0.0050,<4>  ,0.0330,<4>  ,0.0060,<4>  ,0.2340,<4>  C                   ,0.2400,<4>  ,27.3410,<4>  ,
"apaesnut  ","P",02/04/2003 4:00,1,1,2         ,1         ,"",0.0050,<4>  ,0.0480,<4>  ,0.0040,<4>  ,0.2420,<4>  C                   ,0.2460,<4>  ,20.5060,<4>  ,
"apaesnut  ","P",02/04/2003 6:30,1,1,2         ,1         ,"",0.0060,<4>  ,0.0540,<4>  ,0.0050,<4>  ,0.3440,<4>  C                   ,0.3490,<4>  ,21.3600,<4>  ,
